	Unnamed: 0	id	qid1	qid2	question1	question2	is_duplicate	prediction_match
4431	199252	199252	300695	131653	How can I fix my myopia without surgery?	Is it possible to reduce myopia without surgery or LASIK?	1	1
4434	199305	199305	27405	18858	What daily diet should I follow to gain weight?	What is the best diet to gain weight?	1	3
4436	199364	199364	212819	33432	What is a five letter word for big?	"What is the first letter of a five letter word meaning ""big""?"	0	1
4438	199531	199531	301051	189047	How do rose extract and rose water differ?	Can animal cell be made out of clay?	0	3
4449	199987	199987	53	85378	What is web application?	What is web and web application?	0	3
4460	200476	200476	302247	182997	How do you determine Lewis Structure for phosphorus trichloride?	How can you determine the Lewis structure for phosphorus?	0	3
4466	200764	200764	302612	283686	What is von Neumann Architecture? How can you relate von Neumann architecture to an actual computer?	What is von Neumann architecture?	1	3
4468	200814	200814	33580	37169	How can I quickly get rid of belly fat as a male?	How get can I rid of belly fat?	1	2
4473	200988	200988	185957	302903	Can you get pregnant without being fertilized?	Can you get pregnant without a cervix?	0	3
4491	202061	202061	304230	304231	How many colors can a single pixel show at one time?	With a CRT monitor, how many electrons are making contact with a single pixel each time the screen refreshes?	0	3
4495	202162	202162	52644	304348	What are the best online web development courses?	Where can I buy the best quality Web Development courses?	0	3
4501	202337	202337	150608	19121	Where can I get best support in Sydney for buying a property?	Where can I get best legal support for property transaction in Sydney?	1	2
4513	203026	203026	305521	305522	Where can I buy best quality short straps in Melbourne?	Where can I get best quality promotional mugs and glasses in Melbourne?	0	2
4517	203403	203403	306019	306020	What are some feminine clothes men can wear?	Can boys wear feminine clothing?	0	3
4518	203409	203409	221757	92680	Does oral sex count as sex?	Is oral sex considered a sexual intercourse?	1	1
4522	203637	203637	306320	306321	How do the bodies gain weight after they die? Can any body tell me on the basis of medical science?	Why does a body gain weight after death?	1	3
4524	203719	203719	143114	244015	Where can I get removal services in Central Coast?	Where can I get furniture removal services in Central Coast?	1	2
4526	203786	203786	306500	306501	Can a normal car run on the fuel used in airplanes?	How much fuel is used starting a car’s engine?	0	1
4527	203893	203893	306644	306645	Can you get pregnant a week before ovulation?	Can you get pregnant a day after ovulation?	0	3
4534	204215	204215	307048	307049	How does a whole home water filter work?	Do water filters work?	0	3
4537	204337	204337	307202	307203	Can I directly charge 6 volt battery with 6 volt solar panel without voltage controller?	Can I charge a 6 volt battery with a 3 volt solar panel?	0	3
4540	204448	204448	77413	135522	What is hard drive?	What is a hard disk drive?	1	1
4549	204653	204653	307611	307612	Why is the Star Wars character Jar Jar Binks hated by so many Star Wars fans?	What if Jar Jar suddenly appears in Star Wars: Episode VIII?	0	2
4551	204765	204765	307760	96252	Can we drink water after having exercise?	Can I drink water after workout?	1	3
4559	205057	205057	115142	308108	Should India attack Pakistan after Uri attack?	Should India retaliate against Pakistan after The Uri Attack?	1	3
4560	205082	205082	280858	308138	How can you determine the molecular formula of fluorine?	How can you determine the molecular formula of hexane?	0	3
4561	205177	205177	9939	308250	Where can I get professional and timely electrical service in Inner West?	Where can I get regular maintenance for fleas & bed bugs in Inner West?	0	2
4564	205227	205227	210171	308314	Which is a good inpatient drug and alcohol rehab center near Camden County GA?	Which is a good inpatient drug and alcohol rehab center near Baker County GA?	0	2
4569	205318	205318	78679	308433	Does acrylic paint work on ceramic and does not wash off?	Does acrylic paint work on fabric?	0	3
4571	205365	205365	308493	308494	Do Autistic people like reading storybooks?	Can autistic people have empathy?	0	1
4573	205464	205464	308616	308617	What is the physical significance of wave function?	Is the wave function a real physical thing?	0	1
4574	205473	205473	232964	308628	Can I use both benzoyl peroxide and panderm cream together?	Can I use adapalene/clindamycin and benzoyl peroxide together?	0	3
4593	206589	206589	310055	310056	Can the sending end current be smaller than receiving end current in medium transmission line for 100 MVA load?	Can the sending end current be smaller than receiving end current in case of inductive load?	1	3
4596	206618	206618	19024	310089	What is a suitable inpatient drug and alcohol rehab center near Marion County IN?	What is a suitable inpatient drug and alcohol rehab center near Marion County FL?	0	2
4602	206751	206751	34654	21355	How does sex feel like for the first time?	How does sex for the first time feel like?	1	1
4613	207583	207583	311312	311313	What is the difference between match fixing and spot fixing?	What is the difference between spot fixing and match fixing?	1	1
4626	208270	208270	214924	312219	What is positive displacement pump and non positive displacement pump?	What is a positive displacement pump?	0	3
4635	208607	208607	290310	54279	Are there only three Newton laws?	What are Newton's three laws of motion?	0	1
4641	208827	208827	312942	312943	Can an assistant commandant in Indian coast guard become an IAS officer?	What is the Indian coast guard FSB selection procedure?	0	3
4660	209752	209752	314112	54992	Can evaporated milk be used as an alternative to sweetened condensed milk?	Can you substitute condensed milk for evaporated milk? Why or why not?	0	3
4665	209883	209883	314291	22846	What is data structure algorithm?	What is data structures?	0	1
4666	209899	209899	314317	314318	What is lupus pernio?	How is one diagnosed with lupus?	0	3
4686	210920	210920	101961	65724	Can a man ejaculate while receiving anal sex?	Can women reach an orgasm from anal sex?	0	2
4687	210957	210957	315660	315661	Where can I find best quality foam jigsaw mat for floor in Australia?	Where can I find best quality foam jigsaw mat in Australia?	1	2
4688	211002	211002	197003	315724	What color does blue and red make?	What color is a red filter?	0	3
4691	211132	211132	178769	315905	What is real, reactive, and apparent power?	Can reactive power be utilized?	0	3
4693	211193	211193	255040	315979	What is the best book to learn about human behaviour?	Which is the best book to understand human behavior?	1	3
4694	211200	211200	315986	315987	Has anyone cured their teeth cavity without filling?	Can toothpaste fill cavities?	0	3
4721	212259	212259	30859	65964	Can i get pregnant the day after my period ends?	Can you get pregnant a couple days before your period?	1	3
4727	212450	212450	317537	317538	For what types of meals can you substitute red onion for white onion?	For what types of meals can you substitute red onion for yellow onion?	0	3
4731	212582	212582	317695	317696	How does a horizontal milling machine and a vertical milling machine differ?	Under what applications a horizontal milling machine is preferred over a vertical milling machine?	1	3
4734	212756	212756	317901	317902	What is difference between Eclipse Mars and Eclipse Neon?	Is Eclipse Neon a good IDE?	0	3
4746	213371	213371	156161	318676	Can we use air compressor instead of refrigerant compressor?	Can an air conditioner compressor also be used as a refrigeration compressor replacement?	0	3
4751	213586	213586	318943	318944	Who is founder of TCS?	Who is the founder of TCS?	1	1
4752	213714	213714	319113	319114	Can earth magnetic field be attached to like a tether or anchor?	Is there a counterpart of magnet that can react to electric field, just like magnet react to magnetic field?	0	3
4762	214136	214136	67484	259040	Are you truly happy?	Do you live happy?	1	3
4763	214238	214238	117232	45165	What age is the appropriate age to have sex for the first time?	What's the perfect age to have sex for the first time?	1	1
4766	214384	214384	319955	12883	Where can I get quality services in Boston to complete any plastering work within scheduled time?	Where can I get high quality plastering services in Boston at very competitive rates?	0	2
4783	215291	215291	321121	321122	How do I reactivate my old mobile number?	How can I reactivate my old mobile number?	1	1
4785	215326	215326	2656	41576	Is a third world war coming?	Is a third World War imminent?	1	1
4787	215340	215340	321197	321198	Is dark energy and vacuum energy or virtual particles in vacuum the same?	Is dark energy and vacuum energy and virtual particles in vacuum the same after all?	1	2
4792	215763	215763	321731	321732	Where can I get quality support in Randwick for pest control related services?	Where can I get best commercial and industrial pest control services in Randwick?	0	2
4805	216351	216351	322478	322479	What is gastric bypass surgery?	Which gastric bypass surgery is the best?	0	2
4806	216353	216353	22514	322482	What is red room in deep web?	Is deep web a real thing?	0	1
4808	216401	216401	236123	83711	How can open new cell tower over land in India?	What is the process to rent a land to host mobile tower in india?	1	1
4813	216629	216629	30690	322814	Which is a good inpatient drug and alcohol rehab center near Washington County GA?	Which is a good inpatient drug and alcohol rehab center near Clarke County GA?	0	2
4815	216692	216692	239931	322893	What is Epsom salt?	What is Epsom salts?	1	3
4820	216962	216962	323218	323219	How do you determine the chemical formula for hydrogen sulphate?	How are the chemical formulas for hydrogen and nitrogen determined?	0	3
4826	217297	217297	181648	301675	How many calories does one burn while climbing 10 steps of stairs?	How many calories do we burn walking 1 km?	0	3
4835	217717	217717	119433	103702	How can one reduce face fat?	How can I reduce fat from right side of face ?	1	2
4839	217835	217835	18899	324285	Can a snake kill a rabbit?	Can a snake kill an elephant?	0	3
4858	218588	218588	325239	325240	How is the chemical formula for barium cyanide determined?	How is the chemical formula for iron carbonate determined?	0	3
4865	218845	218845	13301	36474	Is green tea a fat burner? Does it help with weight loss? how much should I drink? which time to drink ?	How is Lipton Green Tea related to weight loss?	1	3
4870	218989	218989	21120	36474	How can green tea help you reduce belly fat?	How is Lipton Green Tea related to weight loss?	1	3
4878	219236	219236	68942	27713	Does masturbation affect memory?	Does masturbation cause loss of memory?	1	1
4882	219353	219353	326204	326205	Can we check the quantity of lime in lime stabilized soil after 01 year of lime stabilization?	Can we check the quantity of lime after one year in any lime stabilized stretch?	0	3
4885	219505	219505	326393	326394	Can the packed aloe vera gel by Patanjali Ayurveda be used as a herbal hair styling gel?	Can we apply Patanjali aloe vera gel as serum on hair after washing hair with Patanjali milk protein shampoo and tresemme keratin conditioner?	0	2
4889	219577	219577	326477	326478	Can our sexual orientation change?	Can sexual orientation be changed?	0	1
4903	220015	220015	36852	797	Does exercise help pass meth drug test?	Can hair dye help pass a hair follicle drug test for daily meth smokers?	1	3
4904	220094	220094	106762	327131	What color shirt and tie can I pair with a charcoal brown suit?	What shirt and tie to pair with charcoal suit?	0	3
4905	220110	220110	18131	102135	Can corn oil substitute vegetable oil? Why or why not?	Can sunflower oil be substituted by vegetable oil?	0	3
4908	220154	220154	132193	75703	Can undiagnosed asthma cause high blood pressure?	What causes high blood pressure (hypertension)?	0	2
4918	220722	220722	313393	121684	How long after drinking water does it actually hydrate your body?	Can I drink water after taking cough syrup?	0	3
4928	221059	221059	202932	328307	Can a transgender male get a woman pregnant?	Can a woman get pregnant a couple of days before her period?	0	3
4930	221062	221062	328310	328311	What are best methods of nose hair removal?	What is the best method for pulling nose hairs?	1	1
4948	221947	221947	329401	223354	Which is a good inpatient drug and alcohol rehab center in Sharp County AR?	Which is a good inpatient drug and alcohol rehab center in Perry County AR?	0	2
4951	222090	222090	329565	152646	How can you determine the Lewis structure for hypochlorite?	How can you determine the Lewis structure for boron?	0	3
4955	222254	222254	329771	329772	How can I make homemade biscuits without baking powder?	Can you make sugar cookies with no baking powder?	0	3
4965	222467	222467	330030	330031	How big was the advancement of air defense from world war 2 to the Korean war?	What was the air defense like in the Korean war?	1	1
4967	222572	222572	330162	257016	What is the vortex of the aerodynamics?And how is it impact on the mechanical performance of airplane wings?	Can a plane fly with only one wing?	0	3
4972	222729	222729	330368	330369	Can I substitute corn flour for plain flour?	Can I use spelt flour in place of plain flour?	0	2
4977	223128	223128	232201	65964	Can you still get pregnant one day before menstruation?	Can you get pregnant a couple days before your period?	1	3
4986	223469	223469	331282	331283	Where can machine learning not be applied?	How can machine learning be used?	0	2
4987	223531	223531	185957	331360	Can you get pregnant without being fertilized?	Can you get pregnant if you are a virgin?	0	3
5007	224173	224173	116107	40767	How can you determine the chemical formula for zinc copper sulfate?	How can you determine the chemical formula for zinc acetate?	0	3
5014	224342	224342	332408	332409	Can starch harden Plasticine?	Can starch be part of spice powders?	0	3
5017	224530	224530	332638	49605	Is having a white discharge after a period normal?	Is a brown discharge during your first period normal?	0	1
5028	225098	225098	333360	333361	How many organ are there in human body?	How many organs can be donated from one human body?	0	3
5037	225601	225601	140684	161052	What is a suitable inpatient drug and alcohol rehab center near Davis County IA?	What is a suitable inpatient drug and alcohol rehab center near Ida County IA?	0	2
5044	225874	225874	273836	139262	Can you change your personality?	Can we change our personality?	1	3
5063	226628	226628	335279	335280	Which is a good inpatient drug and alcohol rehab center near Crisp County GA?	Which is a good inpatient drug and alcohol rehab center near Warren County GA?	0	2
5065	226670	226670	335332	335333	How do you open your water meter cover?	How do you open a water meter cover?	1	3
5091	227763	227763	336679	336680	Which is best web designing or web development?	What is best web designing or web development?	1	3
5092	227808	227808	153274	135958	What is the best way to learn German language?	How can I learn German language?	1	3
5097	227907	227907	24142	7918	How can I learn oral English well?	How can learn English?	1	3
5114	228575	228575	337674	337675	Cross grain leather or pebble leather, which one is better quality leather and expensive?	Is PU leather a vegan leather?	0	3
5128	229676	229676	130795	339046	Can depression and anxiety cause brain damage?	Can high levels of negative/ unpleasant emotions cause brain damage?	1	3
5153	230899	230899	15927	280858	How can you determine the molecular formula of hydrogen?	How can you determine the molecular formula of fluorine?	0	3
5166	231425	231425	144854	25190	Can I have sex without losing my virginity?	Does a woman always bleed after first time sex and how much?	0	1
5168	231585	231585	5981	341428	What is infant mortality rate?	What is the infant mortality rate for Uganda?	0	1
5170	231670	231670	341535	341536	Can you detox your body of sodium lauryl sulfate?	What is sodium lauryl sulfate?	0	3
5176	231834	231834	5019	341727	Can I paint glass with acrylic paint? Why or why not?	Can you paint walls with acrylic paint?	0	3
5187	232449	232449	13062	30800	Which is a good inpatient drug and alcohol rehab center in Logan County IL?	Which is a good inpatient drug and alcohol rehab center in Union County IL?	0	2
5197	233033	233033	49303	343164	How do you get cough syrup with codeine prescribed from a doctor?	What states allow you to buy codeine cough syrup OTC?	0	3
5204	233550	233550	27795	11328	Which is a suitable inpatient drug and alcohol rehab center near Montgomery County GA?	Which is a good inpatient drug and alcohol rehab center near Wheeler County GA?	0	2
5213	233847	233847	344189	344190	Is sodium hydroxide a compound mixture or element?	Is sodium hydroxide a greenhouse gas?	0	3
5216	233955	233955	11720	175334	What is hydrogen bonding?	How does hydrogen bonding work?	0	3
5224	234389	234389	344871	344872	Why can Barium Chloride be used as Lewis acid?	What is the Lewis structure of benzoic acid?	0	1
5228	234689	234689	345254	253897	How long can a cat survive without food?	How long can a cat survive without food and water before dying?	0	3
5230	234738	234738	345311	345312	Can a female Muslim teacher touch young male students?	Can a Christian Male and a Muslim Female date?	0	3
5231	234746	234746	345321	345322	How can I get virtual Indian phone numbers?	How can I get a virtual Indian phone number?	1	2
5236	234826	234826	335280	322528	Which is a good inpatient drug and alcohol rehab center near Warren County GA?	Which is a good inpatient drug and alcohol rehab center near Peach County GA?	0	2
5237	234833	234833	126028	41864	How can one get insanely rich?	Can I be rich?	1	3
5238	234866	234866	345458	345459	What is a data migration consultant?	What is data migration?	0	1
5244	235165	235165	197112	345823	How much does a day pass for LA Fitness cost?	How much does a free trial pass for LA Fitness cost?	0	1
5260	236052	236052	77711	113294	How can you determine the chemical equation for decomposition?	How can you determine the chemical equation for plastic?	0	3
5262	236219	236219	347086	347087	What is the real pant size: hip size or waist size?	Is size 6/12 feet small foot size for a girl?	0	3
5263	236259	236259	231096	91889	What is a suitable inpatient drug and alcohol rehab center near Long County GA?	Which is a suitable inpatient drug and alcohol rehab center near Banks County GA?	0	2
5273	236842	236842	347859	347860	What is the best way to learn Android development step by step?	How can I learn Android development step by step?	1	2
5302	238029	238029	43591	62003	Can you get pregnant the day before your period starts?	Can I get pregnant two days after my period ends?	1	3
5305	238148	238148	349456	158839	Can you feed a dog bread?	Can dogs eat bread?	1	3
5307	238370	238370	349713	349714	What are South Korean high schools like?	What is it like to attend a South Korean high school?	0	1
5313	238544	238544	249279	217441	What is a suitable inpatient drug and alcohol rehab center near Phillips County CO?	Which is a suitable inpatient drug and alcohol rehab center near Lincoln County CO?	0	2
5314	238570	238570	349967	349968	Where are dead people right now?	Can dead people feel pain?	0	2
5315	238664	238664	73772	1008	How do crop circles form?	Where and how do the crop circles get generated?	1	3
5322	238971	238971	114596	96715	How can I make green tea?	How can we make green tea?	1	3
5326	239222	239222	350769	350770	Can small dogs breed with large dogs?	What are some common small wolf dog breed?	0	3
5345	239955	239955	232201	43591	Can you still get pregnant one day before menstruation?	Can you get pregnant the day before your period starts?	1	3
5349	240218	240218	78679	5020	Does acrylic paint work on ceramic and does not wash off?	How do you use acrylic paint on glass?	0	3
5359	240531	240531	352363	352364	Converting motor voltage to linear force?	How can I convert motor voltage to linear force?	1	3
5361	240559	240559	352398	352399	Can I use homemade laundry detergent in my high efficiency washer?	Can I use high efficiency (HE) laundry detergent in a normal washer?	0	2
5366	240613	240613	45763	3545	What is a good inpatient drug and alcohol rehab center near Lawrence County AR?	Which is a good inpatient drug and alcohol rehab center near Lawrence County AL?	0	2
5367	240666	240666	352529	352530	How does a laser emit polarized light?	Do lasers emit polarized light?	0	3
5369	240750	240750	352635	8827	Can women have oral sex?	Do all women like oral sex?	0	1
5373	240807	240807	352698	352699	How do I make a fuel cell without platinum?	Can I create a Hydrogen fuel cell without Platinum catalyst?	1	1
5376	240916	240916	352833	234922	How on earth can I stop stress eating?	How do I stop stress eating?	1	3
5380	241127	241127	329565	182997	How can you determine the Lewis structure for hypochlorite?	How can you determine the Lewis structure for phosphorus?	0	3
5382	241205	241205	353172	353173	How can I get rid of my hip dips without getting cosmetic surgery?	How do I get rid of my saggy labia without surgery?	0	1
5387	241570	241570	34654	52884	How does sex feel like for the first time?	How does first time sex feels like?	1	1
5389	241785	241785	353852	353853	Can tea cause acne?	Does drinking tea cause acne problem on face?	1	3
5401	242217	242217	123804	137644	Can white hairs turn into black?	Can white hair turn into black hair?	1	2
5403	242288	242288	354476	354477	Can we drink tender coconut with an empty stomach?	Can tender coconut water be consumed everyday?	0	3
5414	242637	242637	190445	148544	How do I get rid of a double chin?	How do you get rid of a double chin?	0	3
5416	242738	242738	16395	14588	Is sex addiction a real thing?	Is sex addiction a real condition?	1	1
5421	243093	243093	355466	355467	How can I gain my confidence and motivation back?	How can I gain my self confidence back?	1	3
5425	243256	243256	355653	355654	What are the main shoulder dumbbell exercises?	Is Facebook Live safe?	0	3
5430	243384	243384	61304	94544	Which is the best brain exercise?	What are the best brain exercises?	1	1
5434	243591	243591	356059	143146	Which is best position for first time sex?	What is the Best position for a quick sex?	0	1
5435	243598	243598	76308	157826	Which is a suitable inpatient drug and alcohol rehab center near Marshall County IA?	Which is a suitable inpatient drug and alcohol rehab center near Franklin County IA?	0	2
5436	243611	243611	356080	63415	Is it safe to have vaginal sex just after oral sex?	How safe is oral sex?	0	1
5439	243948	243948	356479	356480	What are some water pollution remedies?	What is water pollution?	0	3
5441	244034	244034	356587	356588	Why does an object with a large mass have more potential energy than a smaller mass object?	Does an object moving in a vacuum lose mass?	0	1
5446	244258	244258	356861	56853	Is it beneficial to drink green tea at night?	Can I drink green tea at night?	0	2
5447	244361	244361	280267	237188	Can masturbation be the cause of acne?	Does masturbation cause butt acne?	0	1
5455	244652	244652	50621	25799	How can excessive masturbation lead to low sperm count?	Can frequent masturbation (once in a day) for several months lower the sperm count?	1	3
5458	244728	244728	357411	357412	What causes high sex drive?	What causes a high sex drive?	1	1
5459	244787	244787	357485	357486	What is systematic reading?	What is systematic learning?	0	3
5462	244890	244890	357604	357605	What is a suitable inpatient drug and alcohol rehab center near Clark County ID?	What is a suitable inpatient drug and alcohol rehab center near Boise County ID?	0	2
5463	244948	244948	357681	63377	Is it fine to drink five cups of coffee every day?	How many cups of coffee a day can a person drink?	0	3
5466	245093	245093	357856	357857	Does human body ever stop growing?	Is there an exact and specific age when the human body stops growing?	0	3
5478	245662	245662	358559	63377	Is it okay to drink black coffee each day?	How many cups of coffee a day can a person drink?	0	3
5489	246340	246340	27405	6772	What daily diet should I follow to gain weight?	Which is the best food to gain weight?	1	3
5491	246463	246463	100283	326518	Is anal sex is safe?	Is anal sex safe?	1	1
5502	247132	247132	224855	360302	What are some good Indian Web Series to watch?	What are some of the best Indian web series?	1	3
5511	247777	247777	194184	269644	How do you make duck sauce?	How can you make duck sauce?	1	3
5512	247796	247796	361087	361088	Are there any black Chinese?	Are Chinese men macho?	0	3
5524	248485	248485	46566	135708	How can a skinny guy with a fast metabolism gain weight?	How can a skinny guy gain weight and develop a fit body?	1	3
5534	248704	248704	362174	362175	Where can I get best quality Pest Control service in Nepean?	Where can I get best Pest Control service on Nepean?	1	2
5536	248812	248812	197003	362309	What color does blue and red make?	If yellow, blue and red are the primary colors, how do you make the color red?	0	3
5541	249011	249011	297372	362551	Can I increase my basal metabolic rate?	What is the basal metabolic rate?	0	1
5545	249272	249272	5742	20431	How possible is it to get pregnant one day after my 3 day period?	Can I get pregnant a week after my cycle?	1	1
5547	249410	249410	363042	363043	Where can I get professional and efficient pest services in Inner west?	Where can I get very safe and reliable pest services in Inner west?	0	2
5552	249520	249520	363175	363176	How big is the average human head?	How much does an average human head weigh?	0	3
5558	249866	249866	74779	265197	What determines a substance's specific heat capacity?	What contributes to a material's high heat capacity?	1	1
5591	251608	251608	365763	328613	How much does a pure wool pashmina shawl cost in India?	How much does a Rolex watch cost in India?	0	1
5592	251627	251627	315724	75541	What color is a red filter?	What color is red?	0	3
5596	251982	251982	194238	366199	Do hispanic men date black women?	What should white men do to date black women?	0	3
5597	251987	251987	366206	366207	Is lockjaw after wisdom teeth extraction cureable?	How can a wisdom teeth extraction cause trismus?	0	3
5599	252049	252049	366279	366280	What is nominal stress?	What is life without stress?	0	3
5602	252089	252089	366334	366335	How much does a smog check cost in California?	How much does it cost to rent a snow machine in California?	0	3
5611	252635	252635	367003	367004	Can earth’s magnetic field be repelled by a magnet?	What happed if I use a bearing in machine which one rolling elemen (ball ir roller) got broken?	0	2
5619	253034	253034	70550	91408	What is it like to have first time sex?	What it is like to have sex first time?	1	1
5630	253637	253637	368212	368213	How can I get better at long distance running?	How can I get better at running long distances without running?	0	2
5641	254253	254253	235722	368940	What is the best muscle car?	Which is the best muscle car?	1	1
5653	254672	254672	369446	99990	Which is a good inpatient drug and alcohol rehab center near Summit County CO?	Which is a suitable inpatient drug and alcohol rehab center near Jackson County CO?	0	2
5654	254726	254726	5894	7252	Can you get pregnant one day before ovulation?	Can you get pregnant 8 days before your period?	1	3
5663	255122	255122	369976	369977	Does Creatine increase body weight?	Can creatine increase body weight?	1	3
5664	255132	255132	54090	16261	Whos the best rock band?	What are the best rock bands?	1	1
5666	255193	255193	370054	370055	How can you identify if a black snake with white rings is venomous?	How can you identify if a black snake with grey rings is venomous?	0	3
5670	255252	255252	370120	370121	What causes a yellow discharge after the ovulation period?	What causes an orange discharge after the ovulation period?	0	3
5691	256078	256078	55176	86228	What are the negative side effects of masturbation?	What are the ill effects of excess masturbation?	1	1
5697	256395	256395	193227	371487	What are the symptoms of a bad inner tie rod?	From where can I get carbon fibre tie rods?	0	3
5700	256425	256425	371531	371532	Can yoga cures ovarian cyst?	Do ovarian cysts cause weight gain?	0	3
5704	256670	256670	371837	371838	Where can I get best acute healthcare services in Sydney CBD?	Where can I get best healthcare services in Sydney?	0	2
5706	256892	256892	199474	96009	What is a suitable inpatient drug and alcohol rehab center near Shelby County IL?	What is a suitable inpatient drug and alcohol rehab center near Will County IL?	0	2
5714	257257	257257	372529	372530	Can you substitute granulated sugar for powdered sugar? Why or why not?	How can you substitute granulated sugar for powdered sugar?	1	3
5727	257728	257728	373122	70038	Which is a good inpatient drug and alcohol rehab center in Gordon County GA?	Which is a good inpatient drug and alcohol rehab center in Harris County GA?	0	2
5734	258160	258160	15937	43343	How much an average human mind can store information?	How much data can the human brain store?	1	3
5740	258464	258464	374043	374044	What do dark areas on a brain scan indicate?	What might a shadow and dark spot on a brain scan mean?	1	1
5755	259079	259079	374798	374799	Do lizards drink water and bite?	Can lizards bite people?	0	3
5764	259535	259535	375312	375313	What is a balanced chemical equation for the reaction between sodium and water?	What is the balanced chemical equation for water?	0	3
5766	259596	259596	375379	375380	What is information theory aspects?	What is information theory?	0	1
5768	259640	259640	375437	375438	Can you get diabetic from eating too much sugar?	Can you get Type 2 diabetes from eating too much sugar? Type 2 diabetes is a life long disease that can't be stop unless going to the doctor.	1	3
5771	259965	259965	8794	14538	What is a suitable inpatient drug and alcohol rehab center near Bond County IL?	What is a suitable inpatient drug and alcohol rehab center near Cook County IL?	0	2
5785	260657	260657	376646	376647	Where can I get best annual fire extinguisher maintenance service in Sydney?	Where can I get best annual fire safety maintenance services in Sydney?	1	2
5794	261087	261087	155152	182997	How can you determine the Lewis structure for hydrogen carbonate?	How can you determine the Lewis structure for phosphorus?	0	3
5798	261398	261398	377525	377526	How can Android phones get viruses?	Can Android phones get viruses?	0	2
5799	261412	261412	115252	377541	How is cerebral palsy diagnosed?	What is cerebral palsy?	0	3
5803	261547	261547	35035	21380	Which is the best QuickBooks error support number?	What is the best QuickBooks support number in Arkansas?	1	1
5809	261897	261897	329138	378131	What are some positive and negative long term effects of drinking coffee?	What are the positive and negative long-term effects of drinking decaf coffee?	0	3
5811	261922	261922	336757	205988	Is rock music dead? Can it ever make a comeback?	Is Rock Music dying?	1	3
5822	262355	262355	43591	65964	Can you get pregnant the day before your period starts?	Can you get pregnant a couple days before your period?	1	3
5824	262508	262508	378862	378863	What is the electrical resistance of human body?	What is the breakdown electric current for human body?	0	3
5835	263012	263012	10235	175714	How India can respond to the Uri terror attack?	How can India retaliate against terror sponsored states after the recent Uri Attack?	1	3
5849	263861	263861	380498	63377	Is it healthy to drink turkish coffee every day?	How many cups of coffee a day can a person drink?	0	3
5852	263943	263943	380592	380593	What is meant by length scale in heat transfer and fluid mechanics problems?	What is meant by flow length scale in fluid dynamics?	1	2
5868	264494	264494	381264	381265	What is a good inpatient drug and alcohol rehab center near Crawford County IA?	What is a good inpatient drug and alcohol rehab center near Jefferson County IA?	0	2
5870	264570	264570	58279	193831	How can you determine the chemical formula for chlorate and chlorite?	How do you determine the chemical formula for chromic hydroxide?	0	3
5874	264800	264800	311024	381648	How many triple bonds are there in benzene?	Can benzene contain triple bond?	0	2
5879	265031	265031	381932	13301	Which is better to drink for weight loss- green tea or lemon water?	Is green tea a fat burner? Does it help with weight loss? how much should I drink? which time to drink ?	0	2
5881	265078	265078	52883	111727	How does first time sex feel like?	What is like having sex for the first time?	1	1
5888	265613	265613	382617	325240	How can you determine the chemical formula for iron silver nitrate?	How is the chemical formula for iron carbonate determined?	0	3
5889	265629	265629	382639	64802	Can one wear gold with silver?	How can one wear red coral and ruby together?	0	3
5894	265863	265863	382916	382917	What are the best tricks of suicide without pain?	What is the best method to suicide without pain?	1	1
5903	266330	266330	232201	7252	Can you still get pregnant one day before menstruation?	Can you get pregnant 8 days before your period?	1	3
5912	266645	266645	111836	46608	Can a bound morpheme in English contain more than one syllable?	Can a bound morpheme be more than one syllable?	1	3
5917	266866	266866	161355	384112	How do you determine the base of sodium chloride?	Is sodium chloride considered an acid or a base?	0	3
5922	267121	267121	384412	384413	What does it feel like to be a father with social anxiety disorder and have a child or children who also have social anxiety disorder?	What does it feel like to be a mother with social anxiety disorder and have a child or children who also has social anxiety disorder?	0	1
5925	267182	267182	384497	101008	Can a pit beat a wolf?	Would a wolf beat a pit bull?	1	1
5926	267383	267383	384741	384742	Can human live with only eating bee's honey?	Can honey bees make honey from cannabis?	0	3
5928	267517	267517	384900	384901	Who can diagnose paranoid schizophrenia?	Who diagnoses schizophrenia?	0	3
5933	267769	267769	102632	385204	Can India defeat a cyber war?	How well is India prepared for a cyber war?	1	1
5935	267782	267782	19589	203746	Which is a good inpatient drug and alcohol rehab center near Lamar County GA?	Which is a good inpatient drug and alcohol rehab center near Lamar County AL?	0	2
5938	267860	267860	385314	385315	What is transient heat transfer?	How steady state heat conduction is different from transient heat conduction?	0	3
5939	267910	267910	60069	385368	Can we inject additional complement proteins into human body to fight gram negative superbugs?	Can we inject additional complement proteins into the human body to fight gram negative superbugs?	1	3
5950	268234	268234	385742	385743	Straight women - would you date a bisexual guy?	Do straight girls date bisexual men?	1	3
5954	268332	268332	385851	385852	How a nuclear power plants work?	How does a nuclear power station work?	1	3
5967	268774	268774	43591	7252	Can you get pregnant the day before your period starts?	Can you get pregnant 8 days before your period?	1	3
5974	268897	268897	386533	386534	Can Pakistan be a veto power?	What is Veto power?	0	3
5977	269021	269021	386673	385380	Can we have multiple try block flowed with one catch block?	Can we have one try block and multiple catch block?	1	3
5983	269283	269283	386965	386966	Does hydrogen chloride gas reacts with calcium carbonate?	Is hydrogen gas a compound?	0	3
5993	269628	269628	387368	387369	What's the difference between muscle spasm, cramp and tetany?	What is the difference between a muscle spasm and a muscle cramp?	0	1
