	id	qid1	qid2	question1	question2	is_duplicate
233789	233789	344107	344108	How does titanium make rose quartz pink?	How does a quartz clock work?	0
233821	233821	344154	344155	Why is laser more monochromatic than ordinary light?	Why is a laser more coherent and more monochromatic than ordinary light?	1
233847	233847	344189	344190	Is sodium hydroxide a compound mixture or element?	Is sodium hydroxide a greenhouse gas?	0
233853	233853	7588	344199	Can we use olive cooking oil for hair growth?	How do you use Jamaican castor oil for hair growth?	0
233886	233886	78488	344239	Which are the best Drug or Alcohol Rehab, Detox and Recovery Program Centers in the Monterey County California area?	Which are the best Drug or Alcohol Rehab, Detox and Recovery Program Centers in the San Bernardino County California area?	0
233955	233955	11720	175334	What is hydrogen bonding?	How does hydrogen bonding work?	0
234015	234015	344417	344418	Why does an accelerating charge radiate electromagnetic waves?	Why does accelerating charge radiate electromagnetic radiation?	0
234025	234025	344432	4358	Who's your favourite Walking Dead character?	Who is your favourite character in the TV series The Walking Dead? Why?	1
234050	234050	344458	27795	Which is a suitable inpatient drug and alcohol rehab center near Pike County GA?	Which is a suitable inpatient drug and alcohol rehab center near Montgomery County GA?	0
234181	234181	63768	135099	What is the difference between thermodynamics and heat transfer?	What is a difference between thermodynamics and heat transfer?	1
234243	234243	165998	344697	Does having sex with men with large penises stretch out the vagina?	Do most East Asian men have small penises?	0
234350	234350	62014	344820	How do hypertension cause weight gain?	How does cortisol cause weight gain?	0
234375	234375	344855	137879	What are some Autism spectrum disorders?	What causes Autism Spectrum Disorders?	0
234389	234389	344871	344872	Why can Barium Chloride be used as Lewis acid?	What is the Lewis structure of benzoic acid?	0
234394	234394	344879	344880	What causes sphincter paralysis?	What is sphincter paralysis?	0
234452	234452	2656	35921	Is a third world war coming?	How imminent is World War three?	1
234575	234575	345111	345112	How is the Lewis dot structure for ICL2 determined?	How is the Lewis Dot structure for Co determined?	0
234689	234689	345254	253897	How long can a cat survive without food?	How long can a cat survive without food and water before dying?	0
234731	234731	95389	99990	Which is a suitable inpatient drug and alcohol rehab center in Adams County CO?	Which is a suitable inpatient drug and alcohol rehab center near Jackson County CO?	0
234738	234738	345311	345312	Can a female Muslim teacher touch young male students?	Can a Christian Male and a Muslim Female date?	0
234746	234746	345321	345322	How can I get virtual Indian phone numbers?	How can I get a virtual Indian phone number?	1
234790	234790	345368	345369	Can a boy wear short shorts?	Can boys wear short shorts?	1
234793	234793	281236	308543	Where can I get best building maintenance services in Sydney?	Where can I get quality electrical repair and maintenance services in Sydney?	0
234819	234819	280199	345402	Dragon Ball Super Episode 66 English subtitles Full Episode on this Channel?	How do I watch Dragon Ball Super Episode 47 English Subtitled?	0
234824	234824	345409	345410	Can a broken bone heal perfectly?	Does a broken bone heal perfectly?	1
234826	234826	335280	322528	Which is a good inpatient drug and alcohol rehab center near Warren County GA?	Which is a good inpatient drug and alcohol rehab center near Peach County GA?	0
234833	234833	126028	41864	How can one get insanely rich?	Can I be rich?	1
234866	234866	345458	345459	What is a data migration consultant?	What is data migration?	0
234927	234927	1214	3062	Can World War 3 ever take place?	How close is a World War III?	1
234971	234971	345581	345582	Is India produces crude oil?	Where does India refine its crude oil?	0
235036	235036	345653	345654	Was IPL well marketed?	IPL was well marketed?	1
235126	235126	345771	345772	Is time also another dimension?	What is time dimension?	0
235160	235160	345817	345818	Who are the best music artists with an 8-bit music sound?	What is sound therapy? What kind of sounds or music are best to relieve physical pain?	0
235165	235165	197112	345823	How much does a day pass for LA Fitness cost?	How much does a free trial pass for LA Fitness cost?	0
235178	235178	87848	323259	Is there an inpatient Drug and Alcohol Rehab Center in San Francisco County California?	Is there an inpatient Drug and Alcohol Rehab Center in San Joaquin County California?	0
235221	235221	345890	345891	What is the main difference between static and dynamic in terms of mechanics?	What are the main differences between static and dynamic pressure in terms of mechanics?	1
235358	235358	26881	20431	Can you get pregnant 16 days after your period?	Can I get pregnant a week after my cycle?	1
235418	235418	346127	346128	Do light skin black females make a good girlfriend?	Do light skin black girls make a great girlfriend and wife?	1
235437	235437	288187	35490	Which is the good book to study data structures?	What are the best books to learn data structures?	1
235440	235440	346152	346153	What is the use of converting three phase to two phase in transformer?	Where three phase transformer is being used?	0
235569	235569	346312	346313	What are the side effects of Sugar Free Natura?	Does Sugar Free Natura have any side effects for health?	1
235654	235654	346413	329138	What are the long term side effects of coffee?	What are some positive and negative long term effects of drinking coffee?	1
235667	235667	346432	296925	Is sea salt healthier than table salt?	Is sea salt truly better than table salt?	0
235682	235682	346446	346447	Which domestic flight is the best in India?	Can one take home cooked meal in India domestic flights?	0
235695	235695	346458	346459	What is the difference between Spring Boot and the Spring framework?	Should I learn Spring boot Framework or Spring Framework? What is the difference between them and which one is the best?	1
235698	235698	346462	323151	Are Iranians Asian, black, or white?	Are Persians White?	1
235758	235758	346533	346534	Europe: What is the difference between British and French culture and intellectual style?	Is French culture more intellectual than American culture?	0
235922	235922	346740	332941	Can I use hair removal cream on a tattoo?	Can we use hair removal cream instead of shaving our beard?	0
235972	235972	35532	48941	Generally speaking, do many Mexican women find East Asian men (Korean, Japanese, Chinese) attractive?	Generally speaking, do many Mexican women like East Asian men (Korean, Japanese, Chinese)?	1
236052	236052	77711	113294	How can you determine the chemical equation for decomposition?	How can you determine the chemical equation for plastic?	0
236176	236176	347038	59494	Visual Effects Studios: What is a typical capture technical supervisor salary?	Visual Effects Studios: What is a typical technical supervisor salary?	0
236219	236219	347086	347087	What is the real pant size: hip size or waist size?	Is size 6/12 feet small foot size for a girl?	0
236259	236259	231096	91889	What is a suitable inpatient drug and alcohol rehab center near Long County GA?	Which is a suitable inpatient drug and alcohol rehab center near Banks County GA?	0
236267	236267	347146	347147	What do animal cells lack in comparison to human cells?	How do animal cells and human cells differ?	1
236428	236428	71020	39315	How do I learn machine learning?	How can I learn machine learning well?	1
236438	236438	347360	347361	What is the reaction of phenol with sodium hydroxide?	What is the reaction between acetic acid and sodium hydroxide?	0
236445	236445	98842	347372	What are side effects of sleeping pills?	What are the side effects of the buspirone sleeping pill?	0
236455	236455	347385	347386	Are foreign tourists allowed to open bank accounts in Singapore?	Can a foreign tourist not employed in Singapore open a bank account in Singapore?	1
236583	236583	27796	94851	What is the difference between front end and back end development?	What is difference between front end and back end web developer?	1
236686	236686	80791	347665	What are the symptoms of chronic ischemic microangiopathy?	What is chronic ischemic microangiopathy?	0
236744	236744	347736	240961	Can you build muscle with just bodyweight exercises?	Can I build muscle with bodyweight exercises?	1
236799	236799	347799	347800	Where does the world end?	Can the world end?	0
236842	236842	347859	347860	What is the best way to learn Android development step by step?	How can I learn Android development step by step?	1
236883	236883	347912	24918	What is everything to learn regarding big data analytics?	What is the difference between Data Analytics, Data Analysis, Data Mining, Data Science, Machine Learning, and Big Data?	0
236935	236935	347974	23260	How is the Lewis dot structure for ammonium determined?	How do you determine the Lewis dot structure for sulfate?	0
236956	236956	250869	348005	Was the Russian White Movement General Kornilov an Asiatic Kalmyk?	Are Russian women easy?	0
236974	236974	21243	18858	What are the best foods and/or diet plan for weight gain?	What is the best diet to gain weight?	1
236995	236995	140286	137491	How did variation lead to speciation?	How do mutations lead to genetic variation? How do mutations occur?	0
237133	237133	240067	348232	Can my tubes come back to normal after tubal ligation?	After tubal ligation, how can the tubes come untied?	1
237224	237224	50202	274231	What is the best martial art to practice?	Which martial art style is right for me?	1
237241	237241	177681	159266	What comes first chicken or an egg?	Which comes out first the hen or the egg?	1
237262	237262	348391	348392	How is the specific heat of land determined?	How do you determine the specific heat of sand?	0
237310	237310	348449	348450	Can men feel the hymen when they insert their penis into the vagina?	Is using Chromium Embedded Framework(CEF) in C# safe?	0
237332	237332	22806	348470	What is the difference between middle school and high school curriculum?	What's the difference between middle school and high school education?	1
237344	237344	348481	339953	What is the nursing care plan for epigastric pain?	What is the nursing care plan for hepatic encephalopathy?	0
237349	237349	322206	348489	What is the best painkiller for post chikungunya joint pain?	How we can increase the pull off load of rubber seal cap?	0
237375	237375	131648	348527	How did Joaquin Phoenix get the scar on his lip?	Who is better, Tom Hardy or Joaquin Phoenix?	0
237449	237449	201371	348605	How much does a new website design cost?	How much does web design cost?	1
237505	237505	315507	296086	How do you determine the formula for volume using mass and density?	How can I determine the formula for volume density and mass?	1
237524	237524	348703	348704	Is it possible to learn quantum physics without knowing anything about classical physics?	Can I learn quantum physics or particle physics without any prior knowledge of classical physics?	1
237557	237557	348743	348744	What is the Equation for complete dissociation of aniline acetate in water?	What is the equation for the dissociation of aniline hydrochloride in water?	0
237619	237619	348819	348820	A monochromatic light changes its wavelength after refraction, so does its colour changes after refraction?	Can a light change its colour if its wavelength changes?	0
237635	237635	348836	348837	Where are the best place to work in India?	Which is the best place to work in India?	1
237701	237701	348916	166713	What is the difference between the alternating current and direct current directions?	What is the difference between alternate current and direct current?	1
237724	237724	77553	348942	Can I go straight to med school without a degree in the Philippines?	Can we go straight upward in the earth atmosphere without following a trajectory?	0
237749	237749	213104	348969	How many spines in the human body ?	How many muscles are there in the human body?	0
237785	237785	98797	349012	Where can I read One Piece Manga online?	Is one piece overrated?	0
237821	237821	349060	135408	What is saturation region in transistor as switch?	What is saturation & active region in a transistor?	0
237897	237897	60491	349141	Who was the greatest king of all time?	Who is greatest king?	1
237935	237935	349188	348837	What is the best place in India to work?	Which is the best place to work in India?	1
238023	238023	349301	145042	What's the line between middle class, upper middle class, and upper class in Britain?	What's the line between middle class, upper middle class, and upper class in America?	0
238029	238029	43591	62003	Can you get pregnant the day before your period starts?	Can I get pregnant two days after my period ends?	1
238078	238078	137968	349355	How can the chemical formula of silver be determined?	How is the chemical formula of rubber determined?	0
238118	238118	349414	75707	Is plastic surgery legal in india?	"Why is cosmetic surgery called ""plastic"" surgery?"	0
238148	238148	349456	158839	Can you feed a dog bread?	Can dogs eat bread?	1
238225	238225	349548	349549	Should I drink tea after eating curd?	Can we take tea after eating curd?	1
238370	238370	349713	349714	What are South Korean high schools like?	What is it like to attend a South Korean high school?	0
238381	238381	201314	349728	What is between loops in loop quantum gravity?	What do people think about Loop Quantum Gravity? Who is a Loop Quantum Gravity enthusiast?	0
238382	238382	349729	349730	What is distal urethral stenosis?	What is lumbar spinal stenosis?	0
238458	238458	349817	349818	How does borderline personality disorder affect one's sense of self?	How does borderline personality disorder affect one's sense of humor?	0
238473	238473	349840	349841	Is balsamic vinegar the same as red wine vinegar?	Is white wine vinegar the same as white distilled vinegar?	0
238515	238515	349893	349894	What is pelvicalyceal dilatation?	What is pelvicalyceal system dilation?	0
238544	238544	249279	217441	What is a suitable inpatient drug and alcohol rehab center near Phillips County CO?	Which is a suitable inpatient drug and alcohol rehab center near Lincoln County CO?	0
238570	238570	349967	349968	Where are dead people right now?	Can dead people feel pain?	0
238664	238664	73772	1008	How do crop circles form?	Where and how do the crop circles get generated?	1
238666	238666	350096	350097	Is white a color?	Is white a real color?	1
238685	238685	350115	350116	Why do men get aroused with legs?	How do men get aroused?	0
238722	238722	54297	153191	Is there infinite energy in zero point energy and infinite virtual particles in vacuum energy? Is this a real or just a mathematical thing?	Is zero point energy infinite in reality or just in a mathematical way?	1
238739	238739	7628	48148	Can a sickle cell anemia be cured?	What is like to be a sickle cell anemia patient?	0
238781	238781	350218	350219	My space is filling up with photos, should I get a external hard drive or a new lens first?	Use of ccube certification for mechanical?	0
238906	238906	350380	350381	What does social impact mean?	In what ways do social networks impact family dynamics?	0
238971	238971	114596	96715	How can I make green tea?	How can we make green tea?	1
239058	239058	46641	153191	Saying there is infinite energy in zero point energy and infinite virtual particles in vacuum energy, is this a real or just a mathematical thing?	Is zero point energy infinite in reality or just in a mathematical way?	1
239158	239158	350690	350691	Do white men like indian women?	Do indian women like white men?	0
239221	239221	330623	350768	Why does gel nail polish crack?	Why do gel nails crack?	1
239222	239222	350769	350770	Can small dogs breed with large dogs?	What are some common small wolf dog breed?	0
239325	239325	88488	29481	What is the difference between polar and non polar molecules?	What's the difference between polar and non polar molecule?	1
239332	239332	7525	65246	What is the best certification course to learn digital marketing?	Which is the best free digital marketing course?	1
239382	239382	117599	35150	What is congestive heart failure?	Can you die from congestive heart failure?	0
239416	239416	119433	98762	How can one reduce face fat?	How do I reduce face fat?	1
239422	239422	350990	350991	Does the ozone layer affect global warming?	How is global warming related to ozone layer depletion?	1
239450	239450	280858	250065	How can you determine the molecular formula of fluorine?	How do you determine the molecular formula of phosphorus?	0
239591	239591	166566	233580	What is the difference between social anxiety disorder and avoidant personality disorder?	How are avoidance personality disorder and social anxiety clearly different diagnosis?	1
239593	239593	351206	351207	Is there any truth behind reading body language?	Is reading body language divination?	0
239605	239605	351222	351223	Can chromosomal replication be initiated from the origin of an inserted plasmid?	Magnetic neutral axis test of DC motor?	0
239627	239627	30666	345106	What is the difference between front and back end?	What is front end vs. back end engineering? What is the major difference?	0
239677	239677	206951	351311	Does Disney use CGI in the ride Soarin’ Over the World?	What are the best attractions at Walt Disney World?	0
239716	239716	21243	184643	What are the best foods and/or diet plan for weight gain?	What natural foods are best for weight gain?	1
239800	239800	351473	351474	What is mental health promotion?	What is mental health?	0
239811	239811	77883	351488	What is the best protein powder?	Which protein powder is the best?	1
239817	239817	272449	351493	How do you flush transmission fluid?	Should I double flush transmission fluid?	0
239837	239837	351518	340889	Can Philippines file a criminal case against China in the International Criminal court?	Can the Philippines file a case against China in the International Criminal Court?	1
239885	239885	30891	351577	What are organic compounds?	What are some organic compounds characteristics?	0
239949	239949	351663	351664	What is the meaning of active low and active high in digital circuits and logic design?	Why should a circuit have low output impedance and high input impedance?	0
239955	239955	232201	43591	Can you still get pregnant one day before menstruation?	Can you get pregnant the day before your period starts?	1
239977	239977	307397	351699	What is the reaction between sulfuric acid and sodium nitrate?	What is the reaction of sulfuric acid and iron?	0
239993	239993	351718	351719	What is vertical circular motion?	What is circular motion?	0
240187	240187	85662	5671	How do I reduce belly and chest fat?	What is the best way to reduce abdominal fat?	1
240218	240218	78679	5020	Does acrylic paint work on ceramic and does not wash off?	How do you use acrylic paint on glass?	0
240247	240247	352015	192815	What is a linear demand curve?	What is linear demand curve?	1
240265	240265	190538	352035	What is your favorite character in The Big Bang Theory?	Who is your favorite character on The Big Bang theory?	1
240296	240296	352072	352073	What are the best exercises to build best chest?	What is the best exercise to build triceps?	0
240305	240305	25695	88874	Is there any chance of World War III?	Is World War III on its way right now?	1
240333	240333	352131	352132	East Tennessee State Football Live Stream | Watch East Tennessee State Buccaneers Football Game Today Live Streaming Online?	Tennessee State Football Live Stream | Watch Tennessee State Tigers Football Game Today Live Streaming Online?	0
240365	240365	148965	352163	How can you determine the oxidation number of carbon monoxide?	How do you determine the oxidation number of iodine?	0
240398	240398	352197	352198	When is convergence analysis required for an experimental sampling design irrespective of random generation?	When is convergence analysis required for an experimental sampling design, irrespective of any random generation?	1
240418	240418	352224	211333	How static capacitor banks improve power factor?	Why capacitor improve power factor?	1
240495	240495	352325	352326	Which fast food restaurant has the best milkshakes?	Which fast food restaurant has the best curly fries?	0
240531	240531	352363	352364	Converting motor voltage to linear force?	How can I convert motor voltage to linear force?	1
240553	240553	352394	352395	Is there a saturation limit for a black hole?	Do black holes have a limit / max capacity?	1
240559	240559	352398	352399	Can I use homemade laundry detergent in my high efficiency washer?	Can I use high efficiency (HE) laundry detergent in a normal washer?	0
240568	240568	352411	352412	What is the difference between bioinformatics and genetic data science?	What is the difference between data science and bioinformatics?	1
240575	240575	352421	71331	Which is the best book to learn Angular 2?	What is the best book for learning angular 2?	1
240580	240580	59024	352428	What is a balanced equation of the reaction between hydrochloric acid and sodium carbonate?	Is sodium carbonate soluble in hydrochloric acid?	0
240601	240601	352446	352447	What is digital transformation of infrastructure?	What is digital transformation?	0
240613	240613	45763	3545	What is a good inpatient drug and alcohol rehab center near Lawrence County AR?	Which is a good inpatient drug and alcohol rehab center near Lawrence County AL?	0
240666	240666	352529	352530	How does a laser emit polarized light?	Do lasers emit polarized light?	0
240674	240674	211332	352224	How does a capacitor correct a power factor?	How static capacitor banks improve power factor?	1
240750	240750	352635	8827	Can women have oral sex?	Do all women like oral sex?	0
240781	240781	1062	1214	How imminent is world war III?	Can World War 3 ever take place?	1
240789	240789	13301	54721	Is green tea a fat burner? Does it help with weight loss? how much should I drink? which time to drink ?	What is the correct time to take green tea for weight loss?	1
240806	240806	38014	40575	Are there symptoms of sleep deprivation?	What are symptoms of sleep deprivation?	1
240807	240807	352698	352699	How do I make a fuel cell without platinum?	Can I create a Hydrogen fuel cell without Platinum catalyst?	1
240846	240846	336649	352753	How can you determine the formula for ferrous carbonate?	How is the formula for carbon oxygen determined?	0
240908	240908	114571	352826	What is full wave rectifier?	Full wave rectifier output?	1
240916	240916	352833	234922	How on earth can I stop stress eating?	How do I stop stress eating?	1
240920	240920	352839	352840	How much healthy fat should I consume when on a low carb, high fat diet?	When on low carb high fat diet (not Ketogenic) - do you burn fat?	0
240987	240987	352927	352928	"Who is the main character in ""The Great Gatsby"" by F. Scott Fitzgerald?"	Who is the main character in The Great Gatsby: Gatsby or Nick?	1
241060	241060	151168	307482	What are some common applications for calcium carbonate salt?	What is calcium carbonate used for?	1
241127	241127	329565	182997	How can you determine the Lewis structure for hypochlorite?	How can you determine the Lewis structure for phosphorus?	0
241182	241182	353145	353146	What is child development?	What is child development psychology?	0
241205	241205	353172	353173	How can I get rid of my hip dips without getting cosmetic surgery?	How do I get rid of my saggy labia without surgery?	0
241269	241269	302612	88199	What is von Neumann Architecture? How can you relate von Neumann architecture to an actual computer?	What does von Neumann architecture do?	1
241311	241311	228345	353299	How many calories do I burn to lose 1kg weight per day?	How many calories per day should I gain and burn to lose 10 pounds?	0
241365	241365	325985	353355	Can we hear sound in Space?	What does space sound like?	0
241417	241417	51266	56779	If vacuum gravitational and dark energy is created without limit as universe expands?	Is dark energy and vacuum energy potential energy infinite?	1
241570	241570	34654	52884	How does sex feel like for the first time?	How does first time sex feels like?	1
241744	241744	243137	173149	Which is the best mosquito repeller?	What is the best mosquito repellent?	1
241785	241785	353852	353853	Can tea cause acne?	Does drinking tea cause acne problem on face?	1
241833	241833	353921	104560	Where can I found best quality graphic mats in Sydney?	Where can I buy best quality designer mats in Sydney?	0
241913	241913	354008	354009	What are the best AdvoCare products for weight loss?	What AdvoCare products are best for weight loss?	1
241928	241928	354025	202480	How does butter cause acne?	Does rice cause acne?	0
241935	241935	354035	354036	Can CRISPR reverse aging?	Can the CRISPR method treat aging?	1
241975	241975	8657	354089	How can I join indian army special forces?	Indian army special forces salary?	0
242061	242061	98841	354187	What is the side effect of sleeping pills?	How effective are sleeping pills, and what are the common side effects?	1
242068	242068	354196	72500	Are there any negative side effects in drinking Red Bull?	What are the harmful effects of drinking Red Bull?	1
242092	242092	354228	354229	Do hormones cause laziness?	Are all peptide hormones are protein hormones?	0
242101	242101	354241	354242	What's the difference between iced tea and sweet tea?	Which is correct - iced tea or ice tea?	0
242140	242140	260364	154987	What is front end and back end development?	Who are front end and back end developers?	0
242191	242191	7109	42254	Why can't India ban the import of Chinese products in India?	Can India ban Chinese manufactured goods?	1
242217	242217	123804	137644	Can white hairs turn into black?	Can white hair turn into black hair?	1
242239	242239	354415	354416	What was the real cause of air pollution in Delhi?	How we can Control smog pollution in Delhi? Any Suggestion and ideas.	1
242288	242288	354476	354477	Can we drink tender coconut with an empty stomach?	Can tender coconut water be consumed everyday?	0
242313	242313	222750	354502	What long & short term effects does an anti-mosquito liquid vaporizer have on human health?	What are the long term health effects of eating the cheapest chicken eggs?	0
242328	242328	141594	85061	Can I go back in time?	Can someone travel back in time?	1
242443	242443	354656	354657	How identical are identical twins?	Do identical twins have identical voices?	0
242451	242451	23018	27186	What are the best exercises to burn belly fat?	Whats the best way to reduce belly fat?	1
242514	242514	1062	29874	How imminent is world war III?	Are we heading towards World War III?	1
242558	242558	354791	354792	Does a deep learning image recognition algorithm fall for optical illusions?	Is the deep learning algorithm useful in finance?	0
242596	242596	157102	341443	What personality disorders are common in children of Narcissistic parents?	What personality disorders are common in children with narcissistic parents?	1
242597	242597	112209	354841	What are the best exercises for lowering cholesterol?	What is the best exercise for lowering cholesterol?	1
242599	242599	53821	354843	Where can I buy cannabis oil?	Where can I purchase CBD oil?	1
242634	242634	354885	354886	What are the best basic books about fluid power control? Request	What are the best basic books about fluid power control?	1
242637	242637	190445	148544	How do I get rid of a double chin?	How do you get rid of a double chin?	0
242642	242642	354895	354896	Can the load balancer becomes the single point of failure of a large distributed system?	How do I prevent a load balancer of a web application becoming the single point of failure of my system?	0
242738	242738	16395	14588	Is sex addiction a real thing?	Is sex addiction a real condition?	1
242797	242797	355085	331242	What is the best flavor for Japanese ice cream?	How does one eat ice cream?	0
242897	242897	355214	355215	How do children learn?	How children learn?	1
242922	242922	355250	355251	How do I combat a dandruff problem in Indian winter? Is there any natural or cosmetic remedy?	How do I handle the problem of dandruff in my hair? Any diet or natural treatment?	1
243052	243052	59645	104691	What is Down Syndrome?	Is Down’s Syndrome hereditary?	0
243093	243093	355466	355467	How can I gain my confidence and motivation back?	How can I gain my self confidence back?	1
243097	243097	355471	355472	Is intermittent fasting effective in weight loss?	How effective is intermittent fasting for weight loss?	1
243105	243105	167500	355481	What is the best face wash and face moisturizer for men with oily skin? (Consider products readily available in kenya)	What is the best face scrub for oily skin for men?	0
243218	243218	355615	355616	How do I apply hair spray to short hair?	Can pomade be applied to very short hair?	0
243256	243256	355653	355654	What are the main shoulder dumbbell exercises?	Is Facebook Live safe?	0
243269	243269	73282	32561	Which programming language is the best to learn first?	What language should I learn first?	1
243301	243301	198007	105726	Why is there a brown discharge on the first menstrual period?	Why is the very first period a brown discharge?	1
243334	243334	75385	318423	What are common required and elective courses in music?	What are common required and elective courses in anthropology?	0
243364	243364	22397	216657	Why does urine smell like fish?	Why does my urine smell like rancid tuna?	1
243384	243384	61304	94544	Which is the best brain exercise?	What are the best brain exercises?	1
243445	243445	355883	355884	What is the difference between a full wave rectifier and half wave rectifier?	What is the difference between half wave and full wave voltage doublers?	0
243524	243524	355977	355978	What is the best way to reduce pore size?	How do I reduce pore size?	1
243568	243568	356028	356029	Are there any references to xkcd in The Big Bang Theory TV series?	FRIENDS vs Big Bang Theory: which one is the best TV series to watch?	0
243591	243591	356059	143146	Which is best position for first time sex?	What is the Best position for a quick sex?	0
243598	243598	76308	157826	Which is a suitable inpatient drug and alcohol rehab center near Marshall County IA?	Which is a suitable inpatient drug and alcohol rehab center near Franklin County IA?	0
243611	243611	356080	63415	Is it safe to have vaginal sex just after oral sex?	How safe is oral sex?	0
243626	243626	356101	291040	Why there is no reaction between sodium chloride and nitric acid?	What is the reaction between sodium carbonate and nitric acid?	0
243788	243788	356287	356288	Do Indian women love white men?	Do Indian men cherish white women?	0
243948	243948	356479	356480	What are some water pollution remedies?	What is water pollution?	0
243975	243975	356512	356513	What is self energiz brake? And When dose brake become self-locking?	Which one is best drum brake or disc brake?	0
244034	244034	356587	356588	Why does an object with a large mass have more potential energy than a smaller mass object?	Does an object moving in a vacuum lose mass?	0
244068	244068	356633	145350	Do Venezuelan girls like Indian guys?	Do foreign girls like Indian guys?	0
244091	244091	356662	356663	What is the difference between friction and shear force?	What is the difference between shear force and shear stress?	0
244124	244124	356698	356699	Can vegans have vegetable oil or olive oil?	Is olive oil the same as vegetable oil?	0
244249	244249	113542	292471	Can I get a California driver's license without having/owning a car to take the test in?	Can I use a foreign driver's license to buy a car in California?	0
244258	244258	356861	56853	Is it beneficial to drink green tea at night?	Can I drink green tea at night?	0
244361	244361	280267	237188	Can masturbation be the cause of acne?	Does masturbation cause butt acne?	0
244380	244380	357003	357004	Where can I get free online courses with certificate?	Are there free online courses with free certification?	1
244387	244387	357008	357009	How many wings on average come in a small order of buffalo wild wings?	Where can I buy the best buffalo wings?	0
244530	244530	84214	275488	What is a suitable inpatient drug and alcohol rehab center near Gilmer County GA?	What is a suitable inpatient drug and alcohol rehab center near Glascock County GA?	0
244552	244552	85662	94752	How do I reduce belly and chest fat?	How should I get rid of belly fat?	1
244618	244618	357291	114102	How is the second ionization energy of calcium calculated?	How is the second ionization energy of oxygen determined?	0
244620	244620	357293	111713	Does every mental illness lead to a physical illness, disease or pain?	Can mental illness lead to physical illness?	1
244649	244649	357321	357322	Where can I get very competitive rates for asbestos disposal in Sydney?	Where can I get most cost effective asbestos disposal service in Sydney?	0
244652	244652	50621	25799	How can excessive masturbation lead to low sperm count?	Can frequent masturbation (once in a day) for several months lower the sperm count?	1
244698	244698	326456	266991	What is the difference between phase voltage and line voltage on a 3 phase transmission line?	What is line voltage and phase voltage?	1
244713	244713	357399	357400	Does beard transplantation really work?	Is beard transplantation worthy?	1
244728	244728	357411	357412	What causes high sex drive?	What causes a high sex drive?	1
244787	244787	357485	357486	What is systematic reading?	What is systematic learning?	0
244850	244850	357559	357560	Are most people happy?	Are people happy for being happy?	0
244879	244879	354469	357592	Do 200 push ups challenge work?	Can we do push ups with a single hand?	0
244890	244890	357604	357605	What is a suitable inpatient drug and alcohol rehab center near Clark County ID?	What is a suitable inpatient drug and alcohol rehab center near Boise County ID?	0
244948	244948	357681	63377	Is it fine to drink five cups of coffee every day?	How many cups of coffee a day can a person drink?	0
244962	244962	52266	132231	Which is the most effective herbal remedy for weight loss?	Which is the best herbal medicine for weight loss?	1
245066	245066	357823	34233	How does space elevator work?	How does a space elevator work?	1
245093	245093	357856	357857	Does human body ever stop growing?	Is there an exact and specific age when the human body stops growing?	0
245159	245159	274088	144465	Is a dissociative identity disorder curable?	How is Dissociative Identity Disorder diagnosed and treated?	0
245165	245165	228345	357943	How many calories do I burn to lose 1kg weight per day?	How many calories should you burn a day?	0
245205	245205	105606	207211	Is distilled water the same as purified water?	How are purified water and distilled water different?	1
245220	245220	189471	358019	What is the best erectile dysfunction pill?	What are the best treatment of erectile dysfunction?	0
245300	245300	358117	358118	Why do my antibiotics cause constipation?	Which antibiotics cause constipation?	0
245311	245311	358128	358129	What is the survival rate of stage 4 ovarian cancer?	What is the survival rate of uterine cancer stage 4?	0
245369	245369	19869	129309	Can birth control cause infertility?	Can birth control pills cause me to become permanently infertile?	1
245527	245527	358376	247471	Is there an inpatient Drug and Alcohol Rehab Center in Tuolumne County California?	Is there an inpatient Drug and Alcohol Rehab Center in Stanislaus County California?	0
245564	245564	358428	358429	Is dishtv set top box available in Kenya?	Can the Dish TV set top box be used in Kenya?	1
245612	245612	69601	262506	Georgia State Football Live Stream | Watch Georgia State Panthers Football Game Today Live Streaming Online?	Northern Iowa Football Live Stream | Watch Northern Iowa Panthers Football Game Today Live Streaming Online?	0
245627	245627	358509	358510	Is this Reliance Jio's fiber optic cable network map?	What will happen to current mobile Towers After JIO's optic fiber cable network?	0
245662	245662	358559	63377	Is it okay to drink black coffee each day?	How many cups of coffee a day can a person drink?	0
245680	245680	358581	161995	Why isnt harmonics a major factor in high voltage transmission network?	Why isn't harmonics a major factor in high voltage power transmission network?	1
245681	245681	358582	227080	How is Optimum Nutrition whey protein?	What is whey protein?	0
245793	245793	331620	358709	What are transition elements?	What are outer and inner transition elements?	0
245969	245969	94382	358922	How can you determine the chemical formula for barium phosphide?	How is the chemical formula for barium bromide determined?	0
246017	246017	75552	149482	Why is brown sugar healthier than white sugar?	Why is Brown Sugar better than white sugar for your health?	1
246057	246057	359037	359038	How much does a skin lightening surgery cost in India?	How much does Mommy Makeover Surgery cost in India?	0
246076	246076	197996	3247	How much does it cost to build an basic Android app in India?	How much will it cost to build an Android app in India?	1
246218	246218	150371	359233	Is time discrete or continuous?	Is time really continuous?	1
246243	246243	67730	183222	What is non load bearing wall?	What is a load bearing structure?	0
246283	246283	359312	343613	Which will have a greater boiling point, ethane, methane, butane, or butene?	Why does HBr have a higher boiling point than HCl?	0
246340	246340	27405	6772	What daily diet should I follow to gain weight?	Which is the best food to gain weight?	1
